# Pre-generated synthetic data for Tutorial 03: Softmax & Exploration
# 2-armed bandit task, 200 trials
# Arm 0: p(reward)=0.3, Arm 1: p(reward)=0.7 during acquisition (trials 1-100)
# Reversal at trial 101: Arm 0: p(reward)=0.7, Arm 1: p(reward)=0.3
# Columns:
#   trial         - trial number (1-200)
#   choice        - chosen arm (0 or 1)
#   reward        - outcome (1=reward, 0=no reward)
#   p_reward_arm0 - true reward probability for arm 0
#   p_reward_arm1 - true reward probability for arm 1
#   phase         - task phase (acquisition or reversal)
trial,choice,reward,p_reward_arm0,p_reward_arm1,phase
151,0,1,0.7,0.3,reversal
152,0,0,0.7,0.3,reversal
153,0,1,0.7,0.3,reversal
154,0,1,0.7,0.3,reversal
155,0,1,0.7,0.3,reversal
156,1,0,0.7,0.3,reversal
157,0,1,0.7,0.3,reversal
158,0,1,0.7,0.3,reversal
159,0,0,0.7,0.3,reversal
160,0,1,0.7,0.3,reversal
161,0,1,0.7,0.3,reversal
162,0,1,0.7,0.3,reversal
163,1,0,0.7,0.3,reversal
164,0,0,0.7,0.3,reversal
165,0,1,0.7,0.3,reversal
166,0,1,0.7,0.3,reversal
167,0,1,0.7,0.3,reversal
168,0,0,0.7,0.3,reversal
169,0,1,0.7,0.3,reversal
170,0,1,0.7,0.3,reversal
171,1,0,0.7,0.3,reversal
172,0,1,0.7,0.3,reversal
173,0,0,0.7,0.3,reversal
174,0,1,0.7,0.3,reversal
175,0,1,0.7,0.3,reversal
176,0,1,0.7,0.3,reversal
177,0,0,0.7,0.3,reversal
178,0,1,0.7,0.3,reversal
179,0,1,0.7,0.3,reversal
180,0,1,0.7,0.3,reversal
181,1,1,0.7,0.3,reversal
182,0,1,0.7,0.3,reversal
183,0,0,0.7,0.3,reversal
184,0,1,0.7,0.3,reversal
185,0,1,0.7,0.3,reversal
186,0,1,0.7,0.3,reversal
187,0,0,0.7,0.3,reversal
188,0,1,0.7,0.3,reversal
189,0,1,0.7,0.3,reversal
190,0,1,0.7,0.3,reversal
191,1,0,0.7,0.3,reversal
192,0,1,0.7,0.3,reversal
193,0,0,0.7,0.3,reversal
194,0,1,0.7,0.3,reversal
195,0,1,0.7,0.3,reversal
196,0,1,0.7,0.3,reversal
197,0,0,0.7,0.3,reversal
198,0,1,0.7,0.3,reversal
199,0,1,0.7,0.3,reversal
200,0,1,0.7,0.3,reversal
